,x,y,r,g,b,Title,Artist,Genre,Year,0,1
0,7.77681,7.0854816,0.4546499789308366,0.9530244680188389,0.7159868717660054,WHERE?,Yoru no Honki Dance,JRock,2014,0.07195109928029184,0.030651680962239986
1,5.7004533,8.2314,0.40441082900496356,0.9820137900379082,0.7466285008499575,Hankering,Hector Warrens,Sleep,2022,0.1135725712623618,0.05312318208260617
2,2.0713556,7.8215055,0.8320477564680272,0.9634484844650082,0.7187323664527226,Sálvora,Huma,Sleep,2022,0.1530537749287749,0.07006766381766383
3,8.207911,0.61731434,0.15827592829690784,0.6343572616680143,0.3882010338509896,"Samson et Dalila, Op. 47, R. 288 / Act II: ""Mon coeur s'ouvre à ta voix""","Camille Saint-Saëns, Elina Garanca, Filarmonica del Teatro Comunale di Bologna, Yves Abel",Opera,2020,0.06283972352634329,0.00874413145539906
4,7.3005795,3.3866005,0.4815934736848605,0.6025360429443426,0.5537741129137393,Dark Waves,Attack Attack!,Metalcore,2023,0.13133127994524305,0.03949920146018709
5,11.224508,5.563525,0.1069400346276724,0.9663500984979698,0.8160588454978637,You're so High,Eli & Fur,ProgressiveHouse,2013,0.21272532844485184,0.02206181892249719
6,7.406789,4.434987,0.5390113653106237,0.7445126065346415,0.24246888597648789,No Mientas,Pablo Valle Sexteto,Tango,2017,0.07471893707110527,0.037140458461089224
7,2.2958353,7.9866967,0.8302243008794586,0.9569196359917422,0.7133852743435284,8 Pa,Grin Department,OPM,2009,0.120975040821087,0.06451947749008637
8,10.583978,4.80323,0.1785186859833067,0.9712618273732937,0.5053392774759935,Of My Mind,Pional,Electronica,2016,0.09360200364298732,0.049772313296903466
9,11.318756,5.046145,0.12138666288193134,0.9789007891312954,0.8438440483770875,Ignite,"Paul Webster, NoSo",Trance,2023,0.389287786480998,0.017732811140121842
10,2.2790666,2.2247033,0.8321455709817255,0.7436060977520762,0.44118696291031867,Swing heart direction,Mikako Komatsu,Anime,2018,0.05291879153144803,0.022187451707618606
11,10.119268,7.548919,0.13584893854151783,0.9578429766914515,0.8134955114961576,Daft Punk Is Playing at My House,LCD Soundsystem,Electronica,2005,0.32742240479916535,0.031201095461658838
12,3.7527928,1.3497351,0.8038688793251488,0.2898928224331381,0.327659908818684,Vuelve,Jair Rodriguez,Samba,2023,0.0835055986218777,0.04405684754521964
13,10.51971,2.1206598,0.07157634473777626,0.9440814748205332,0.6419592534127001,House Of The Rising Sun,The Animals,Rock,1964,0.11490715091823132,0.030470914127423823
14,-0.2484133,4.699602,0.9199519965291918,0.9543651546145753,0.5203255860866242,アイラブユー,back number,JPop,2023,0.07496094108997338,0.04182060472383057
15,9.318706,7.6892533,0.32536183762003773,0.9683306358881009,0.7926969522887578,Underwater - Tinlicker Remix (Edit),"Gabriel & Dresden, Jan Burton, Tinlicker",Trance,2021,0.2660177354944796,0.07659443269908385
16,9.725759,3.4585729,0.11193694530384365,0.89509370058296,0.47973612330922233,Porque Me Engañas,Charlie Palmieri,Salsa,1974,0.17120817843866176,0.023166047087980174
17,10.592417,4.5836706,0.24827859831130997,0.9495694677225974,0.6461575980876184,Banquet,Bloc Party,AltRock,2005,0.2480081300813009,0.0398509485094851
18,10.338922,2.8141303,0.1402669216367657,0.9142730071581637,0.35556722781619415,Casaco Marrom,Danilo Caymmi,Samba,2009,0.04005382414935259,0.0228319783197832
19,5.022154,2.907238,0.46716804679230023,0.6699704011708282,0.5305621120309314,猜心,Wanfang,Mandopop,1992,0.06587624209575435,0.018836946702800363
20,7.3404045,6.20325,0.6270245008012383,0.9096152336506371,0.5007797653405144,Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",Pagode,2023,0.043295978381815294,0.04140836115085042
21,7.610396,0.83769995,0.258152886983248,0.4234890712304359,0.20402164432447614,Is It Always Binary,Soulwax,Electronica,2017,0.10288846721484292,0.012808349146110056
22,0.5307718,5.451085,0.8511006959331497,0.9694560763764755,0.6037706385165458,City Of Dreams - Radio Edit,"Dirty South, Alesso, Ruben Haze",ProgressiveHouse,2013,0.22569562950322328,0.014230185817216528
23,11.051314,4.079101,0.17909545941798674,0.9537067580104794,0.7606765309890434,Rock Soldiers,Ace Frehley,HardRock,1987,0.1592343464540773,0.03874979239329014
24,3.7830088,7.0990286,0.7825337824135332,0.953959973261634,0.5519385514820082,Friend of the Devil,Grateful Dead,PsychRock,1970,0.10565506653019449,0.060673262822699865
25,3.2998319,1.1447668,0.7178570642703548,0.9373377233878343,0.5331660676385492,Relaxin' with cherry,Kid Loco,Electronica,1997,0.08601154918359225,0.013251692552767817
26,-0.7942745,4.2256856,0.9344076967782451,0.9690868877197254,0.46954675073434443,風の向きが変わって,MONO NO AWARE,JRock,2023,0.0797687553282183,0.04330242966751922
27,11.257647,2.749428,0.12431620757473129,0.9735111273055987,0.5092191981494877,More,"Zion, Jory Boy, Ken-Y",Reggaeton,2012,0.1315326633165829,0.031658291457286436
28,5.994357,1.0194801,0.4335977248814704,0.07659376274062933,0.21899100286352607,Charred Remains,Autopsy,Metal,1991,0.05909090909090909,0.020454545454545454
29,2.4410489,3.1344929,0.8789276785061853,0.6587598152754026,0.4250444002891821,La traviata / Act 1: Prelude,"Giuseppe Verdi, Orchestra del Maggio Musicale Fiorentino, Sir John Pritchard",Opera,1966,0.06392742048479749,0.02544311335294942
30,-0.2503158,1.3886989,0.9777859934750615,0.9775466628128765,0.5905607354066753,A Meaningful Moment Through a Meaning(less) Process,Stars Of The Lid,Ambient,2007,0.0807517361111111,0.04781597222222219
